MatchNo, Date, Day, Teams, MatchTime , Venue , PollStartTime , PollEndTime 
1, 22 Mar 2025 , Saturday , KKR vs RCB , 7:30 PM , Kolkata , 12:00 AM , 7:30 PM 
2, 23 Mar 2025 , Sunday , SRH vs RR , 3:30 PM , Hyderabad , 12:00 AM , 3:30 PM 
3, 23 Mar 2025 , Sunday , CSK vs MI , 7:30 PM , Chennai , 12:00 AM , 7:30 PM 
4, 24 Mar 2025 , Monday , DC vs LSG , 7:30 PM , Visakhapatnam , 12:17 AM , 7:30 PM 
5, 25 Mar 2025 , Tuesday , GT vs PBKS , 7:30 PM , Ahmedabad , 12:00 AM , 7:30 PM 
6, 26 Mar 2025 , Wednesday , RR vs KKR , 7:30 PM , Guwahati , 12:00 AM , 7:30 PM 
7, 27 Mar 2025 , Thursday , SRH vs LSG , 7:30 PM , Hyderabad , 12:00 AM , 7:30 PM 
8, 28 Mar 2025 , Friday , CSK vs RCB , 7:30 PM , Chennai , 12:00 AM , 7:30 PM 
9, 29 Mar 2025 , Saturday , GT vs MI , 7:30 PM , Ahmedabad , 12:00 AM , 7:30 PM 
10, 30 Mar 2025 , Sunday , DC vs SRH , 3:30 PM , Visakhapatnam , 12:00 AM , 3:30 PM 
11, 30 Mar 2025 , Sunday , RR vs CSK , 7:30 PM , Guwahati , 12:00 AM , 7:30 PM 
12, 31 Mar 2025 , Monday , MI vs KKR , 7:30 PM , Mumbai , 12:00 AM , 7:30 PM 
13, 1 Apr 2025 , Tuesday , LSG vs PBKS , 7:30 PM , Lucknow , 12:00 AM , 7:30 PM 
14, 2 Apr 2025 , Wednesday , RCB vs GT , 7:30 PM , Bengaluru , 12:00 AM , 7:30 PM 
15, 3 Apr 2025 , Thursday , KKR vs SRH , 7:30 PM , Kolkata , 12:00 AM , 7:30 PM 
16, 4 Apr 2025 , Friday , LSG vs MI , 7:30 PM , Lucknow , 12:00 AM , 7:30 PM 
17, 5 Apr 2025 , Saturday , CSK vs DC , 3:30 PM , Chennai , 12:00 AM , 3:30 PM 
18, 5 Apr 2025 , Saturday , PBKS vs RR , 7:30 PM , New Chandigarh , 12:00 AM , 7:30 PM 
19, 6 Apr 2025 , Sunday , KKR vs LSG , 3:30 PM , Kolkata , 12:00 AM , 3:30 PM 
